Country,Region,Number,GDP per capita,Ranking
Peru,Latin America and Caribbean,3,0.996,142
Philippines,Southeastern Asia,12.1,0.812,38
Poland,Central and Eastern Europe,3.4,1.246,139
Portugal,Western Europe,10,1.276,49
Puerto Rico,Latin America and Caribbean,6.2,1.359,96
Qatar,Middle East and Northern Africa,4,1.824,135
Romania,Central and Eastern Europe,13,1.17,35
Russia,Central and Eastern Europe,5.2,1.232,115
Rwanda,Sub-Saharan Africa,6.6,0.328,89
S. Sudan,Sub-Saharan Africa,7,0.394,85
Saudi Arabia,Middle East and Northern Africa,2.2,1.49,148
Senegal,Sub-Saharan Africa,1.5,0.443,154
Serbia,Central and Eastern Europe,17.5,1.034,18
Sierra Leone,Sub-Saharan Africa,21.7,0.365,10
Singapore,Southeastern Asia,5.4,1.646,114
Slovakia,Central and Eastern Europe,8.6,1.28,62
Slovenia,Central and Eastern Europe,5.1,1.299,116
Somalia,Sub-Saharan Africa,29.5,0,5
Somaliland,Sub-Saharan Africa,30,0.256,4
South Africa,Sub-Saharan Africa,27.2,1.024,6
South Korea,Eastern Asia,2.6,1.359,146
Spain,Western Europe,5.6,1.343,109
Sri Lanka,Southern Asia,2.7,0.973,143
Sudan,Sub-Saharan Africa,4.5,0.631,127
Suriname,Latin America and Caribbean,5,1.097,119
Sweden,Western Europe,7.4,1.452,79
Switzerland,Western Europe,6,1.527,99
Syria,Middle East and Northern Africa,5.7,0.747,105
Taiwan,Eastern Asia,6.1,1.397,98
Tajikistan,Central and Eastern Europe,6.2,0.488,97
Tanzania,Sub-Saharan Africa,14.8,0.472,27
Thailand,Southeastern Asia,8.9,1.089,61
Togo,Sub-Saharan Africa,8,0.281,72
Trinidad and Tobago,Latin America and Caribbean,87,1.326,1
Tunisia,Middle East and Northern Africa,9.6,0.977,53
Turkey,Middle East and Northern Africa,32.8,1.165,3
Turkmenistan,Central and Eastern Europe,10.2,1.08,47
Uganda,Sub-Saharan Africa,21.3,0.347,11
Ukraine,Central and Eastern Europe,22,0.873,9
United Arab Emirates,Middle East and Northern Africa,20,1.574,14
United Kingdom,Western Europe,7.2,1.403,82
United States of America,North America,24,1.508,8
Uruguay,Latin America and Caribbean,15.9,1.182,22
Uzbekistan,Central and Eastern Europe,5.5,0.736,113
Venezuela,Latin America and Caribbean,3.1,1.134,141
Vietnam,Southeastern Asia,4.6,0.74,125
Yemen,Middle East and Northern Africa,5.6,0.579,110
Zambia,Sub-Saharan Africa,21,0.612,12
Zimbabwe,Sub-Saharan Africa,8.2,0.35,68
